PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
13323,52%,160160,1987408,38755,15549,119732,2019-01-10 17:40:20
13323,53%,219660,2142892,45575,16061,183889,2019-01-10 17:40:22
13323,89%,268856,2218516,59667,15787,221822,2019-01-10 17:40:25
13323,25%,301632,2231168,56653,15894,250645,2019-01-10 17:40:28
13323,52%,314128,2257808,53102,19608,175082,2019-01-10 17:40:31
13323,31%,320160,2260564,59394,23422,188012,2019-01-10 17:40:34
13323,51%,333096,2329416,64283,24111,281158,2019-01-10 17:40:37
13323,61%,355896,2335964,65505,24729,202044,2019-01-10 17:40:40
13323,59%,355180,2342304,67784,25781,299032,2019-01-10 17:40:43
13323,39%,375752,2373064,76687,24295,316192,2019-01-10 17:40:46
13323,63%,379748,2380024,70495,24466,288950,2019-01-10 17:40:49
13323,35%,379508,2376092,70171,24489,320104,2019-01-10 17:40:51
13323,64%,381672,2381912,70066,25454,320863,2019-01-10 17:40:53
13323,39%,387248,2373960,69929,28526,325517,2019-01-10 17:40:55
13323,52%,398960,2391004,71723,29620,334800,2019-01-10 17:40:58
13323,40%,393188,2381440,71369,29549,332710,2019-01-10 17:41:00
13323,35%,404092,2401480,73243,24605,344743,2019-01-10 17:41:02
13323,10%,385980,2391948,72699,24556,326887,2019-01-10 17:41:04
13323,0%,386332,2390812,71616,24533,327250,2019-01-10 17:41:07
13323,16%,386244,2389712,71585,24722,328808,2019-01-10 17:41:09
13323,19%,383100,2391604,71780,24893,329229,2019-01-10 17:41:11
13323,12%,383844,2391908,71800,25234,329332,2019-01-10 17:41:12
13323,22%,382668,2374516,67050,24930,322098,2019-01-10 17:41:15
13323,20%,381452,2374096,68093,24526,321794,2019-01-10 17:41:17
13323,41%,387752,2400932,68585,25061,335541,2019-01-10 17:41:19
13323,58%,389176,2406328,70666,25018,329383,2019-01-10 17:41:21
13323,53%,390092,2408064,70395,25961,339076,2019-01-10 17:41:24
13323,28%,388344,2402764,70041,25735,327980,2019-01-10 17:41:26
13323,14%,386564,2392752,69761,25730,327608,2019-01-10 17:41:28
13323,8%,382580,2392868,69702,25829,323630,2019-01-10 17:41:29
13323,12%,382596,2393060,69731,25855,323955,2019-01-10 17:41:31
13323,1%,382500,2392108,70101,26135,323130,2019-01-10 17:41:33
13323,18%,378296,2375616,67426,26021,317532,2019-01-10 17:41:35
13323,22%,377780,2378092,71812,29020,325975,2019-01-10 17:41:37
13323,30%,392780,2421424,71820,25974,336391,2019-01-10 17:41:39
13323,50%,395620,2421472,71640,25809,337803,2019-01-10 17:41:41
13323,75%,393832,2413996,73068,26902,346943,2019-01-10 17:41:44
13323,28%,391572,2411116,72411,26877,218606,2019-01-10 17:41:46
14235,19%,263652,2397916,72443,26997,220850,2019-01-10 17:41:47
14235,24%,258344,2391772,72083,26965,183695,2019-01-10 17:41:49
14235,22%,258540,2391772,69173,26952,220206,2019-01-10 17:41:52
13323,15%,383216,2384068,69856,26480,323925,2019-01-10 17:41:54
13323,40%,396072,2423624,72521,27036,338943,2019-01-10 17:41:56
13323,53%,399576,2422108,73999,26924,341364,2019-01-10 17:41:58
13323,15%,394120,2415516,73275,28293,342464,2019-01-10 17:42:00
13323,17%,406512,2442580,73836,28077,346060,2019-01-10 17:42:02
13323,12%,401620,2425744,73364,28065,345652,2019-01-10 17:42:04
13323,28%,396344,2419464,72279,28168,340372,2019-01-10 17:42:06
13323,8%,396256,2419628,72128,28139,340182,2019-01-10 17:42:08
13323,0%,394600,2401380,69464,28157,333878,2019-01-10 17:42:10
13323,16%,394156,2400896,68491,26150,332174,2019-01-10 17:42:12
13323,48%,410224,2445136,72817,28164,350859,2019-01-10 17:42:14
13323,52%,407432,2437872,72513,28282,348987,2019-01-10 17:42:16
13323,47%,418184,2443720,72541,28159,357263,2019-01-10 17:42:18
13323,3%,407176,2428704,71309,28314,345975,2019-01-10 17:42:20
13323,15%,405280,2425280,71268,28282,345381,2019-01-10 17:42:22
13323,15%,399556,2416148,70925,28234,342069,2019-01-10 17:42:24
13323,17%,397024,2398652,68510,28200,336694,2019-01-10 17:42:26
13323,17%,396192,2398300,67936,26961,336174,2019-01-10 17:42:28
13323,27%,403968,2436844,71292,28193,349395,2019-01-10 17:42:30
13323,37%,410616,2434384,71871,28204,351665,2019-01-10 17:42:32
13323,57%,409944,2431144,70961,28177,352179,2019-01-10 17:42:34
13323,28%,417900,2449756,72413,29025,362549,2019-01-10 17:42:36
13323,1%,406560,2432480,71808,28969,350313,2019-01-10 17:42:38
13323,17%,406204,2424836,71904,29107,348921,2019-01-10 17:42:40
13323,26%,402788,2423960,71788,29067,346179,2019-01-10 17:42:42
13323,7%,402616,2423912,69267,29003,340213,2019-01-10 17:42:44
13323,19%,399656,2405244,68255,26841,339133,2019-01-10 17:42:46
13323,19%,400408,2406424,76769,28896,352891,2019-01-10 17:42:48
13323,50%,411484,2438980,72093,29078,356196,2019-01-10 17:42:50
13323,49%,421304,2448928,71547,28918,358092,2019-01-10 17:42:52
13323,33%,405752,2434872,71507,28908,348340,2019-01-10 17:42:55
13323,10%,406608,2428384,70738,29088,348260,2019-01-10 17:42:56
13323,16%,403496,2425244,70974,29179,347053,2019-01-10 17:42:58
13323,10%,403232,2420716,68491,29095,340639,2019-01-10 17:43:00
13323,17%,400096,2403068,67228,27054,339003,2019-01-10 17:43:02
13323,32%,401368,2407296,75295,29041,353419,2019-01-10 17:43:04
13323,44%,406176,2435492,71232,29270,351993,2019-01-10 17:43:06
13323,33%,412160,2437948,71294,29136,356760,2019-01-10 17:43:09
13323,51%,415240,2446296,71555,29130,362664,2019-01-10 17:43:11
13323,49%,409464,2442684,72036,30201,356284,2019-01-10 17:43:13
13323,16%,407056,2437496,71742,30162,353562,2019-01-10 17:43:15
13323,16%,406144,2425064,71317,30119,348296,2019-01-10 17:43:17
13323,15%,404888,2422900,70882,30138,346816,2019-01-10 17:43:19
13323,19%,403004,2420692,71178,30259,344712,2019-01-10 17:43:21
13323,12%,402816,2420724,71018,30233,344484,2019-01-10 17:43:23
13323,17%,399312,2402508,68365,30209,338256,2019-01-10 17:43:25
13323,16%,398736,2402156,68088,29963,338182,2019-01-10 17:43:27
13323,37%,413392,2444440,70545,30111,357366,2019-01-10 17:43:29
13323,52%,410468,2434556,71628,30166,347836,2019-01-10 17:43:31
13323,17%,415200,2441560,70965,30767,353896,2019-01-10 17:43:33
13323,20%,405668,2432812,70893,30708,347240,2019-01-10 17:43:35
13323,16%,399688,2419052,70484,30693,343140,2019-01-10 17:43:37
13323,22%,399872,2419140,70683,30825,343368,2019-01-10 17:43:39
13323,16%,399584,2419200,70673,30793,343168,2019-01-10 17:43:41
13323,12%,399472,2419152,70425,30780,343012,2019-01-10 17:43:43
13323,16%,397000,2403036,67662,30748,336728,2019-01-10 17:43:45
13323,18%,396424,2402684,68730,30242,338220,2019-01-10 17:43:47
13323,50%,404468,2439364,70510,31106,355019,2019-01-10 17:43:49
13323,61%,408688,2439076,71638,32225,352027,2019-01-10 17:43:52
13323,55%,406676,2432864,69898,31182,354379,2019-01-10 17:43:54
13323,17%,403260,2423100,69594,31181,346847,2019-01-10 17:43:56
13323,17%,402836,2416552,69291,31175,346343,2019-01-10 17:43:58
13323,15%,402708,2416408,69625,31287,346087,2019-01-10 17:43:59
13323,23%,402672,2416472,69611,31272,346075,2019-01-10 17:44:01
13323,11%,402244,2416392,66610,31213,340091,2019-01-10 17:44:03
13323,18%,397900,2396660,65093,29114,338727,2019-01-10 17:44:05
13323,16%,395656,2395632,64934,29061,336511,2019-01-10 17:44:07
13323,17%,395592,2395580,64895,29078,336527,2019-01-10 17:44:09
13323,17%,395468,2395580,64743,29062,336451,2019-01-10 17:44:11
13323,18%,395492,2391324,64202,29040,336239,2019-01-10 17:44:13
