PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
16751,74%,156384,1979272,38761,15540,111887,2019-01-10 17:48:35
16751,52%,227040,2156012,45141,15676,184701,2019-01-10 17:48:37
16751,118%,276580,2228196,61818,16358,233968,2019-01-10 17:48:42
16751,22%,308572,2260240,55829,25106,166677,2019-01-10 17:48:45
16751,45%,344160,2314968,60031,20489,213882,2019-01-10 17:48:47
16751,65%,334476,2324888,63672,24037,228497,2019-01-10 17:48:51
16751,54%,357704,2333536,64702,28461,286117,2019-01-10 17:48:54
16751,65%,367120,2343756,68417,23953,301202,2019-01-10 17:48:57
16751,49%,375880,2370308,71389,28567,312677,2019-01-10 17:49:00
16751,49%,389220,2391468,68689,24088,324007,2019-01-10 17:49:02
16751,38%,390024,2388848,67960,24290,328086,2019-01-10 17:49:05
16751,47%,392516,2381204,67824,26259,328580,2019-01-10 17:49:07
16751,44%,398308,2395208,67965,27657,334246,2019-01-10 17:49:10
16751,45%,400664,2390764,68278,32084,337378,2019-01-10 17:49:12
16751,43%,400836,2409060,69953,32007,340535,2019-01-10 17:49:15
16751,47%,403208,2400648,70613,24190,342598,2019-01-10 17:49:17
16751,16%,400940,2399188,69614,24027,340328,2019-01-10 17:49:19
16751,20%,381728,2397228,68962,24313,327780,2019-01-10 17:49:21
16751,12%,382728,2398084,69265,24439,328430,2019-01-10 17:49:22
16751,20%,383560,2399284,67502,24425,322338,2019-01-10 17:49:24
16751,17%,381656,2381312,66334,22384,321915,2019-01-10 17:49:26
16751,45%,388180,2409060,75409,24408,345148,2019-01-10 17:49:28
16751,50%,389252,2418956,71354,24460,336025,2019-01-10 17:49:31
16751,41%,383924,2422108,72274,25681,333133,2019-01-10 17:49:33
16751,4%,395052,2418672,71260,25484,336381,2019-01-10 17:49:35
16751,20%,388396,2406236,70851,25639,333893,2019-01-10 17:49:37
16751,12%,385576,2405196,69906,25586,329702,2019-01-10 17:49:39
16751,0%,382080,2382488,67930,25536,323095,2019-01-10 17:49:41
16751,18%,381468,2382004,66800,23497,322503,2019-01-10 17:49:43
16751,59%,396108,2429488,71517,25644,342524,2019-01-10 17:49:45
16751,42%,400052,2422288,71673,26285,345200,2019-01-10 17:49:47
16751,52%,398864,2438280,72129,26883,341364,2019-01-10 17:49:50
16751,25%,389316,2428600,72132,26761,330468,2019-01-10 17:49:52
16751,8%,388004,2425280,72120,26690,332089,2019-01-10 17:49:53
16751,7%,385216,2414288,71615,27395,329581,2019-01-10 17:49:55
16751,19%,382516,2396996,68472,26610,321351,2019-01-10 17:49:57
16751,28%,382200,2395076,70340,34123,217626,2019-01-10 17:49:59
16751,50%,382660,2434968,71581,27182,246836,2019-01-10 17:50:02
16751,59%,381964,2430112,72369,26633,217973,2019-01-10 17:50:04
16751,32%,400052,2442336,72080,27553,260523,2019-01-10 17:50:06
16751,21%,383168,2419188,71014,27550,327622,2019-01-10 17:50:08
16751,12%,379592,2412776,71197,27657,324126,2019-01-10 17:50:10
16751,2%,377960,2393480,68780,27643,318221,2019-01-10 17:50:12
16751,16%,377384,2391420,68233,27772,317709,2019-01-10 17:50:14
16751,53%,392364,2435828,72117,27817,334556,2019-01-10 17:50:16
16751,49%,394868,2432392,72314,28031,334774,2019-01-10 17:50:18
16751,54%,396648,2430672,72983,28198,344938,2019-01-10 17:50:20
16751,1%,397156,2435632,71487,28185,342354,2019-01-10 17:50:22
16751,21%,387496,2419660,71034,28142,330806,2019-01-10 17:50:24
16751,18%,386964,2411000,70830,28130,330358,2019-01-10 17:50:26
16751,13%,386204,2411148,71095,28260,329504,2019-01-10 17:50:28
16751,12%,387372,2412096,71133,28471,330411,2019-01-10 17:50:30
16751,10%,387116,2411900,68846,28395,324537,2019-01-10 17:50:32
16751,17%,382412,2394252,67504,26331,322221,2019-01-10 17:50:34
16751,25%,383864,2394984,73482,28291,335930,2019-01-10 17:50:36
16751,60%,391260,2428596,71409,28677,336290,2019-01-10 17:50:38
16751,42%,391748,2426856,71445,29227,336341,2019-01-10 17:50:40
16751,40%,385176,2424884,70895,29178,331757,2019-01-10 17:50:42
16751,14%,386636,2422108,70720,29155,335903,2019-01-10 17:50:44
16751,21%,384744,2426000,70528,29261,332799,2019-01-10 17:50:46
16751,28%,385576,2418692,67924,29196,322033,2019-01-10 17:50:48
16751,16%,382044,2396028,66802,27037,321809,2019-01-10 17:50:50
16751,19%,382624,2397104,73310,28802,333592,2019-01-10 17:50:52
16751,50%,386288,2429676,70752,29269,331798,2019-01-10 17:50:54
16751,44%,395620,2432452,70067,29145,333418,2019-01-10 17:50:56
16751,67%,403992,2444588,71066,29651,349522,2019-01-10 17:50:59
16751,48%,394144,2429972,70559,29643,339374,2019-01-10 17:51:01
16751,14%,392136,2421444,70166,29641,338690,2019-01-10 17:51:03
16751,19%,388404,2413976,70284,29749,334826,2019-01-10 17:51:04
16751,6%,388172,2414040,70263,29730,334630,2019-01-10 17:51:06
16751,11%,388040,2413960,68186,29662,329318,2019-01-10 17:51:08
16751,16%,385636,2397376,66870,27504,327890,2019-01-10 17:51:10
16751,20%,385640,2398308,78132,29537,340496,2019-01-10 17:51:12
16751,62%,397012,2432232,71419,29761,345318,2019-01-10 17:51:14
16751,49%,398964,2433036,73685,30861,342426,2019-01-10 17:51:16
16751,55%,393580,2426364,70830,30807,339838,2019-01-10 17:51:18
16751,10%,396700,2431212,71078,30818,345498,2019-01-10 17:51:20
16751,12%,391944,2426364,70962,30776,343118,2019-01-10 17:51:22
16751,12%,388912,2419740,68427,30706,330770,2019-01-10 17:51:24
16751,19%,387356,2397432,67344,28534,330254,2019-01-10 17:51:26
16751,21%,387888,2398592,78537,30517,341364,2019-01-10 17:51:28
16751,50%,386268,2428944,71131,30736,335648,2019-01-10 17:51:30
16751,32%,398860,2433780,71707,30700,342044,2019-01-10 17:51:32
16751,64%,403376,2442668,71815,31752,357748,2019-01-10 17:51:34
16751,24%,391096,2423916,71031,31750,341224,2019-01-10 17:51:36
16751,10%,390532,2417260,71156,31866,340532,2019-01-10 17:51:38
16751,12%,390372,2415100,68245,32575,335864,2019-01-10 17:51:40
16751,15%,387216,2396404,67264,29605,331764,2019-01-10 17:51:42
16751,20%,388320,2397444,71997,31711,345185,2019-01-10 17:51:44
16751,46%,394824,2431064,71830,31988,345988,2019-01-10 17:51:46
16751,26%,398024,2431804,70797,31847,344384,2019-01-10 17:51:48
16751,65%,400020,2434528,71630,32848,354528,2019-01-10 17:51:51
16751,20%,390412,2428980,70728,32614,343164,2019-01-10 17:51:52
16751,10%,385328,2416548,70551,32718,337848,2019-01-10 17:51:54
16751,1%,385196,2416500,68144,32690,331800,2019-01-10 17:51:56
16751,19%,382948,2397832,67035,30361,329452,2019-01-10 17:51:58
16751,18%,381680,2396648,66901,30299,328372,2019-01-10 17:52:00
