PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
18485,73%,161568,2042312,41136,14601,121891,2019-01-10 17:52:28
18485,34%,221380,2154648,47595,15777,182998,2019-01-10 17:52:30
18485,56%,276204,2226448,59309,16057,234590,2019-01-10 17:52:35
18485,43%,320780,2270136,53952,19569,192244,2019-01-10 17:52:38
18485,64%,342624,2317508,64774,21477,217623,2019-01-10 17:52:41
18485,44%,340944,2331112,63471,24986,285742,2019-01-10 17:52:44
18485,42%,353888,2332292,64900,24538,200488,2019-01-10 17:52:47
18485,81%,352208,2343120,65704,24416,300848,2019-01-10 17:52:50
18485,38%,378112,2366668,71394,25875,316094,2019-01-10 17:52:53
18485,70%,372728,2361216,67987,24028,311145,2019-01-10 17:52:56
18485,37%,387808,2384664,68458,24919,326614,2019-01-10 17:52:58
18485,49%,382660,2379108,67951,26546,321775,2019-01-10 17:53:00
18485,65%,391936,2388496,68466,25598,334133,2019-01-10 17:53:03
18485,41%,384808,2391288,68132,28330,326068,2019-01-10 17:53:05
18485,55%,397288,2401328,68827,31387,335688,2019-01-10 17:53:08
18485,16%,392792,2389472,68038,23546,334853,2019-01-10 17:53:10
18485,21%,385796,2404352,69595,24184,329127,2019-01-10 17:53:12
18485,14%,384484,2393972,68992,24144,327739,2019-01-10 17:53:14
18485,21%,382252,2387368,69380,24438,330036,2019-01-10 17:53:16
18485,12%,381420,2396416,68956,24788,328035,2019-01-10 17:53:18
18485,19%,381064,2381060,67061,24461,321440,2019-01-10 17:53:20
18485,20%,380584,2380812,68825,27911,323626,2019-01-10 17:53:22
18485,50%,397748,2425584,70157,24665,341230,2019-01-10 17:53:24
18485,70%,383796,2418172,70693,25925,328431,2019-01-10 17:53:26
18485,30%,380928,2408092,69771,25553,323164,2019-01-10 17:53:28
18485,8%,380768,2412952,69526,25620,327384,2019-01-10 17:53:30
18485,16%,377456,2408756,69914,25834,325994,2019-01-10 17:53:32
18485,1%,377168,2402184,67604,25750,315805,2019-01-10 17:53:34
18485,23%,373904,2381732,66640,23684,314515,2019-01-10 17:53:36
18485,23%,373952,2383568,69671,25417,325890,2019-01-10 17:53:38
18485,58%,384876,2417276,71570,25891,331276,2019-01-10 17:53:40
18485,42%,390960,2424528,71544,25980,334047,2019-01-10 17:53:42
18485,54%,385496,2418584,74923,26635,336271,2019-01-10 17:53:45
18485,20%,393508,2428724,71459,26638,339059,2019-01-10 17:53:46
18485,15%,389344,2420364,71201,26631,335655,2019-01-10 17:53:49
18485,8%,384824,2413444,71125,26739,330947,2019-01-10 17:53:50
18485,16%,384728,2410284,70995,26720,217411,2019-01-10 17:53:52
19329,26%,248148,2383232,68734,26670,212665,2019-01-10 17:53:54
18485,19%,374828,2392556,68192,26655,210499,2019-01-10 17:53:56
18485,54%,378012,2403276,71952,27792,233082,2019-01-10 17:53:58
18485,57%,370392,2430212,71626,27205,324128,2019-01-10 17:54:01
18485,51%,372004,2430868,72469,26744,330632,2019-01-10 17:54:03
18485,53%,375576,2425784,73284,28726,335805,2019-01-10 17:54:05
18485,19%,380944,2429644,73569,28716,336097,2019-01-10 17:54:07
18485,19%,380536,2423108,73377,28711,335689,2019-01-10 17:54:09
18485,15%,379156,2418544,73199,28824,331133,2019-01-10 17:54:11
18485,10%,378608,2415400,72216,28797,330581,2019-01-10 17:54:13
18485,30%,377644,2414668,69568,28755,325113,2019-01-10 17:54:15
18485,19%,373640,2396652,68608,26529,323657,2019-01-10 17:54:17
18485,79%,383088,2430540,71974,28674,352050,2019-01-10 17:54:18
18485,48%,378184,2427444,71694,28784,333824,2019-01-10 17:54:21
18485,57%,387080,2432192,72577,29902,345182,2019-01-10 17:54:23
18485,58%,388064,2438664,71978,29883,344140,2019-01-10 17:54:25
18485,22%,378644,2426692,71745,29926,336588,2019-01-10 17:54:27
18485,6%,378372,2425776,71502,29885,335448,2019-01-10 17:54:29
18485,13%,376328,2423800,71203,30001,332974,2019-01-10 17:54:31
18485,12%,375476,2422464,71201,29985,332056,2019-01-10 17:54:33
18485,4%,375012,2413708,68430,29958,325369,2019-01-10 17:54:34
18485,20%,374096,2396064,66939,27741,323191,2019-01-10 17:54:36
18485,17%,371756,2392840,67572,29380,324155,2019-01-10 17:54:39
18485,36%,387244,2433948,71385,29938,343825,2019-01-10 17:54:41
18485,55%,389920,2430116,71325,31022,342917,2019-01-10 17:54:43
18485,21%,388036,2432324,74579,30829,347161,2019-01-10 17:54:45
18485,16%,387584,2429808,73128,30805,344577,2019-01-10 17:54:47
18485,18%,384768,2420980,70917,30781,340574,2019-01-10 17:54:49
18485,26%,384592,2420980,70780,30898,336248,2019-01-10 17:54:51
18485,18%,380512,2416724,70629,30887,336072,2019-01-10 17:54:53
18485,14%,380416,2416692,70408,30872,335836,2019-01-10 17:54:55
18485,16%,378768,2398492,67886,30841,329808,2019-01-10 17:54:57
18485,16%,378228,2396012,67502,30950,329484,2019-01-10 17:54:59
18485,27%,395816,2448296,69919,30788,354180,2019-01-10 17:55:01
18485,32%,390848,2436892,70771,30858,340852,2019-01-10 17:55:03
18485,18%,386052,2424316,70485,30809,341376,2019-01-10 17:55:05
18485,5%,393012,2433408,70920,31385,346332,2019-01-10 17:55:07
18485,21%,384936,2424248,70594,31471,336896,2019-01-10 17:55:09
18485,14%,380692,2412612,70273,31441,336384,2019-01-10 17:55:11
18485,0%,377204,2395416,68042,31410,327444,2019-01-10 17:55:13
18485,17%,376332,2394932,66775,29365,326552,2019-01-10 17:55:15
18485,45%,387164,2435740,70551,31364,341095,2019-01-10 17:55:17
18485,53%,388824,2430968,70740,31477,340263,2019-01-10 17:55:19
18485,49%,390440,2427424,70602,31367,341119,2019-01-10 17:55:21
18485,38%,394716,2434880,71112,32213,349323,2019-01-10 17:55:23
18485,21%,386916,2420424,71080,32202,343395,2019-01-10 17:55:25
18485,16%,386556,2419004,70791,32180,342979,2019-01-10 17:55:27
18485,10%,382132,2414472,70753,32303,338327,2019-01-10 17:55:29
18485,13%,381996,2414520,70694,32291,336551,2019-01-10 17:55:31
18485,17%,380256,2414480,68320,32221,331227,2019-01-10 17:55:33
18485,17%,379328,2395772,67061,30133,329835,2019-01-10 17:55:35
18485,41%,381380,2410444,74962,32226,343923,2019-01-10 17:55:36
18485,44%,379776,2425832,70695,32319,336591,2019-01-10 17:55:39
18485,38%,391188,2429800,70522,32242,340315,2019-01-10 17:55:41
18485,52%,397900,2439484,71189,32680,350667,2019-01-10 17:55:43
18485,3%,387648,2427540,70664,32781,339431,2019-01-10 17:55:45
18485,14%,383164,2416968,70317,32715,339023,2019-01-10 17:55:47
18485,14%,379052,2399756,67922,32677,330125,2019-01-10 17:55:49
18485,17%,378440,2399272,66968,30538,329549,2019-01-10 17:55:51
18485,49%,405848,2457888,70879,32831,353353,2019-01-10 17:55:53
18485,50%,396648,2435808,70669,33230,344796,2019-01-10 17:55:55
