PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
7455,74%,157788,1984764,40800,15466,118763,2019-01-10 17:28:42
7455,64%,228132,2152732,54996,13992,186616,2019-01-10 17:28:44
7455,38%,275456,2212248,52965,15257,221932,2019-01-10 17:28:49
7455,25%,313744,2192520,49785,17670,168693,2019-01-10 17:28:52
7455,31%,314940,2213440,50077,20591,178904,2019-01-10 17:28:54
7455,52%,315600,2226212,53120,25398,251030,2019-01-10 17:28:57
7455,58%,322292,2224916,52695,20897,163313,2019-01-10 17:29:00
7455,58%,314392,2232816,53311,25355,248296,2019-01-10 17:29:03
7455,82%,326124,2256900,58830,21581,261205,2019-01-10 17:29:14
7455,59%,339192,2285172,57984,29851,273916,2019-01-10 17:29:16
7455,41%,336964,2284468,58061,29979,271611,2019-01-10 17:29:19
7455,8%,336360,2281104,57487,26133,270593,2019-01-10 17:29:21
7455,5%,339880,2284028,57495,22273,273586,2019-01-10 17:29:23
7455,18%,323848,2280340,56953,22259,257646,2019-01-10 17:29:25
7455,23%,322848,2276372,56513,22390,261026,2019-01-10 17:29:27
7455,16%,328844,2276400,56295,22220,262914,2019-01-10 17:29:29
7455,15%,322408,2276312,56354,22315,256486,2019-01-10 17:29:31
7455,50%,332452,2279992,56445,22309,265920,2019-01-10 17:29:33
7455,17%,328780,2276344,56332,22287,262976,2019-01-10 17:29:35
7455,18%,322548,2276384,56443,22301,256948,2019-01-10 17:29:37
7455,34%,332360,2279316,54711,22172,265084,2019-01-10 17:29:38
7455,16%,328092,2266712,53718,22157,261540,2019-01-10 17:29:40
7455,16%,322420,2263600,53518,22187,255668,2019-01-10 17:29:42
7455,16%,331616,2264188,52928,22070,263748,2019-01-10 17:29:44
7455,16%,329792,2263232,53345,22108,261944,2019-01-10 17:29:46
7455,10%,323584,2262476,53145,25830,256472,2019-01-10 17:29:48
7455,2%,331796,2270504,53188,22327,263661,2019-01-10 17:29:50
7455,16%,326212,2263700,52909,22290,258013,2019-01-10 17:29:52
7455,41%,323588,2263912,52308,22281,260829,2019-01-10 17:29:54
7455,28%,327472,2265716,52694,22379,260113,2019-01-10 17:29:56
7455,18%,327328,2263484,52742,22195,259913,2019-01-10 17:29:58
7455,44%,331896,2268336,52646,22103,261855,2019-01-10 17:30:00
7455,18%,326928,2263460,52427,22102,259239,2019-01-10 17:30:10
7455,17%,322608,2258108,52232,22118,254735,2019-01-10 17:30:12
