PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
6070,20%,51044,1753760,5037,6749,24697,2019-01-10 17:26:46
6070,18%,88508,1842804,10561,6146,50081,2019-01-10 17:26:47
6070,23%,113676,1889020,21549,14631,75001,2019-01-10 17:26:49
6070,60%,153188,2045520,41589,16067,112091,2019-01-10 17:26:53
6070,33%,223400,2152288,41466,13998,178414,2019-01-10 17:26:56
6070,37%,268064,2205596,51454,15337,217322,2019-01-10 17:27:07
6070,34%,311384,2221492,50601,22484,249644,2019-01-10 17:27:12
6070,25%,319500,2229196,52494,21899,253875,2019-01-10 17:27:16
6070,47%,323412,2238392,56753,31601,261941,2019-01-10 17:27:21
6070,21%,325136,2254608,56241,24871,262825,2019-01-10 17:27:25
6070,57%,321632,2254732,56343,25192,257564,2019-01-10 17:27:28
6070,70%,338508,2268792,57477,30056,246043,2019-01-10 17:27:39
6070,35%,332596,2267140,55199,22999,268478,2019-01-10 17:27:41
6070,20%,333328,2262792,55041,21916,267167,2019-01-10 17:27:44
6070,37%,320728,2262812,55146,21948,254915,2019-01-10 17:27:46
6070,47%,330260,2264788,55240,21897,261002,2019-01-10 17:27:48
6070,39%,327712,2260632,53738,21963,260674,2019-01-10 17:27:50
6070,35%,320500,2253224,53237,23526,255076,2019-01-10 17:27:52
6070,36%,329824,2261076,53442,21960,262344,2019-01-10 17:27:54
6070,36%,330048,2261076,53504,21977,262424,2019-01-10 17:27:56
6070,40%,331480,2265124,53254,21957,259932,2019-01-10 17:27:58
6070,25%,327440,2259936,52893,21978,259644,2019-01-10 17:28:00
6070,13%,323208,2259996,53378,23866,254896,2019-01-10 17:28:03
6070,23%,328352,2258976,52985,22024,260763,2019-01-10 17:28:04
6070,44%,328548,2258976,52933,22041,260787,2019-01-10 17:28:07
6070,46%,325592,2258008,52521,22060,263011,2019-01-10 17:28:09
6070,40%,329068,2256812,53129,22235,261233,2019-01-10 17:28:11
6070,44%,329528,2258928,52796,21963,261682,2019-01-10 17:28:13
6070,39%,323184,2258928,52797,21963,255430,2019-01-10 17:28:15
6070,40%,323460,2258928,52792,21969,255478,2019-01-10 17:28:17
