PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
9458,59%,150372,2038416,41934,15933,114395,2019-01-10 17:32:24
9458,64%,240688,2175940,61423,14083,197604,2019-01-10 17:32:26
9458,46%,275880,2211516,52297,16104,225743,2019-01-10 17:32:31
9458,32%,305756,2193872,57317,21892,168556,2019-01-10 17:32:35
9458,38%,318748,2230452,53059,18555,191736,2019-01-10 17:32:38
9458,53%,312600,2229232,54537,21291,250058,2019-01-10 17:32:40
9458,53%,325240,2233732,54256,24431,197538,2019-01-10 17:32:43
9458,64%,324332,2247020,54784,21132,258194,2019-01-10 17:32:46
9458,42%,326648,2255916,60426,22592,262185,2019-01-10 17:32:48
9458,48%,322368,2258940,54335,22966,255956,2019-01-10 17:32:50
9458,43%,328560,2262432,55305,26684,262731,2019-01-10 17:32:53
9458,45%,341524,2270404,57358,26213,275064,2019-01-10 17:32:55
9458,28%,335352,2271672,57520,29804,269353,2019-01-10 17:32:57
9458,38%,340648,2274240,57239,30091,273619,2019-01-10 17:33:00
9458,40%,336656,2273632,57328,29949,270503,2019-01-10 17:33:02
9458,47%,338868,2273212,56839,22197,271744,2019-01-10 17:33:04
9458,17%,334748,2266748,56549,22166,268980,2019-01-10 17:33:06
9458,16%,320756,2263616,55889,22188,255144,2019-01-10 17:33:08
9458,16%,330120,2266776,56032,22072,263740,2019-01-10 17:33:10
9458,17%,327764,2264328,55968,22081,261336,2019-01-10 17:33:12
9458,13%,321040,2264624,55733,22147,254682,2019-01-10 17:33:14
9458,16%,330612,2267664,55700,22127,264434,2019-01-10 17:33:16
9458,16%,327220,2264284,55583,22143,261094,2019-01-10 17:33:18
9458,15%,320460,2263568,55587,22798,255962,2019-01-10 17:33:20
9458,2%,328856,2259464,54012,22202,262192,2019-01-10 17:33:21
9458,17%,327892,2252876,53129,22194,260672,2019-01-10 17:33:23
9458,39%,323668,2249740,52335,22069,260855,2019-01-10 17:33:25
9458,18%,327244,2247496,52184,22054,259245,2019-01-10 17:33:27
9458,19%,327124,2247536,52274,22069,259377,2019-01-10 17:33:29
9458,13%,330844,2251140,52538,22045,262649,2019-01-10 17:33:31
9458,17%,327968,2247244,52428,22058,259825,2019-01-10 17:33:33
9458,23%,327400,2246508,51519,22091,259235,2019-01-10 17:33:35
9458,33%,331032,2250724,52191,22404,263308,2019-01-10 17:33:37
9458,17%,328516,2246368,51330,22232,260864,2019-01-10 17:33:39
9458,10%,327980,2245632,51260,24006,260572,2019-01-10 17:33:41
9458,16%,329396,2246956,51120,22200,261843,2019-01-10 17:33:43
9458,15%,327632,2245256,51052,22198,260115,2019-01-10 17:33:45
9458,17%,322448,2243128,50945,22196,160326,2019-01-10 17:33:47
10245,25%,216920,2238736,50989,22199,163904,2019-01-10 17:33:49
9458,17%,322392,2243064,50981,22192,142859,2019-01-10 17:33:51
10245,24%,212004,2232592,50975,22196,164164,2019-01-10 17:33:53
