PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
10475,55%,130588,1926068,27074,12906,96519,2019-01-10 17:34:13
10475,50%,176020,2074240,38612,15219,134831,2019-01-10 17:34:16
10475,57%,233456,2159204,47133,14066,193793,2019-01-10 17:34:19
10475,42%,280920,2154048,51620,18719,230315,2019-01-10 17:34:29
10475,49%,311680,2229592,52229,20238,248519,2019-01-10 17:34:31
10475,42%,322232,2230528,53106,21381,170791,2019-01-10 17:34:34
10475,64%,312232,2229736,52548,18629,248625,2019-01-10 17:34:37
10475,57%,322776,2247656,53742,20647,257662,2019-01-10 17:34:39
10475,43%,322468,2257816,53321,21209,256131,2019-01-10 17:34:51
10475,53%,336508,2288904,57970,30234,269967,2019-01-10 17:34:53
10475,7%,336052,2287376,57975,24579,269968,2019-01-10 17:34:55
10475,0%,340404,2287964,56855,22105,274324,2019-01-10 17:34:57
10475,17%,326868,2283616,56796,22077,260984,2019-01-10 17:34:59
10475,58%,331972,2283912,56109,22132,267637,2019-01-10 17:35:01
10475,15%,323580,2280424,55986,22119,257339,2019-01-10 17:35:03
10475,17%,323500,2280424,55876,22129,257443,2019-01-10 17:35:05
10475,48%,334456,2285608,55883,22130,267186,2019-01-10 17:35:07
10475,18%,322884,2280412,55762,22116,257378,2019-01-10 17:35:09
10475,9%,322728,2280452,55517,22162,257646,2019-01-10 17:35:11
10475,16%,331276,2277692,54046,21951,264766,2019-01-10 17:35:13
10475,18%,323720,2268540,52966,21984,256866,2019-01-10 17:35:15
10475,9%,323244,2266700,52383,23054,256212,2019-01-10 17:35:17
10475,17%,333664,2266980,52021,22148,265921,2019-01-10 17:35:19
10475,18%,324436,2264268,52411,22204,256689,2019-01-10 17:35:21
10475,9%,324008,2263532,52303,26488,256885,2019-01-10 17:35:23
10475,0%,335328,2270040,52605,22170,267672,2019-01-10 17:35:24
10475,18%,323836,2264452,52381,22140,256252,2019-01-10 17:35:26
10475,42%,326660,2263672,51434,22281,263810,2019-01-10 17:35:29
10475,26%,330804,2262580,52387,22388,263415,2019-01-10 17:35:31
10475,19%,324392,2262396,51681,22222,257055,2019-01-10 17:35:32
10475,32%,332844,2264776,51654,22110,265182,2019-01-10 17:35:34
10475,17%,331112,2263136,51593,22115,263498,2019-01-10 17:35:36
10475,17%,331388,2259944,51468,22114,162746,2019-01-10 17:35:38
11413,23%,218708,2256548,51462,22109,166142,2019-01-10 17:35:40
11413,25%,213708,2250404,51449,22114,135472,2019-01-10 17:35:42
11413,23%,213708,2250404,51438,22106,166499,2019-01-10 17:35:44
10475,17%,325268,2257784,51408,22106,257606,2019-01-10 17:35:46
