PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
6070,38%,159724,2053296,41153,15002,125947,2019-01-10 17:26:54
6070,48%,227204,2154660,45356,14404,177994,2019-01-10 17:26:57
6070,35%,270132,2154212,53628,25282,219524,2019-01-10 17:27:04
6070,17%,304112,2181468,46352,20512,179597,2019-01-10 17:27:06
6070,79%,319388,2217688,50666,20793,256280,2019-01-10 17:27:10
6070,57%,309176,2228772,53396,19965,175122,2019-01-10 17:27:13
6070,51%,320208,2231468,52535,24255,254225,2019-01-10 17:27:16
6070,45%,322700,2242124,56817,25855,246274,2019-01-10 17:27:21
6070,26%,325136,2254624,56284,26066,262377,2019-01-10 17:27:26
6070,42%,331000,2260020,56343,27536,264029,2019-01-10 17:27:29
6070,55%,343028,2270496,57480,29340,275434,2019-01-10 17:27:32
6070,52%,337544,2270868,57563,26694,271503,2019-01-10 17:27:34
6070,48%,344540,2274896,57448,30059,277719,2019-01-10 17:27:37
6070,42%,331040,2269996,56322,30337,265300,2019-01-10 17:27:39
6070,42%,335344,2269132,55125,21997,270494,2019-01-10 17:27:42
6070,14%,333328,2262792,55059,21956,267043,2019-01-10 17:27:44
6070,12%,320996,2262872,55345,23607,256308,2019-01-10 17:27:47
6070,26%,327644,2262760,55030,21923,260954,2019-01-10 17:27:49
6070,40%,320472,2255332,53402,21929,253117,2019-01-10 17:27:51
6070,57%,330964,2264528,53626,21983,264201,2019-01-10 17:27:53
6070,33%,330600,2261096,53436,21965,262333,2019-01-10 17:27:55
6070,19%,323816,2261176,52826,22977,255485,2019-01-10 17:27:57
6070,27%,327736,2261020,53239,21939,259976,2019-01-10 17:27:59
6070,36%,328132,2259956,53562,21944,259828,2019-01-10 17:28:01
6070,57%,326056,2259772,53065,22055,260630,2019-01-10 17:28:03
6070,40%,328056,2258956,52935,22030,260803,2019-01-10 17:28:05
6070,36%,328008,2258996,53023,22064,260898,2019-01-10 17:28:07
6070,40%,332172,2259840,52482,21948,261089,2019-01-10 17:28:09
6070,23%,329224,2258908,52806,22079,261637,2019-01-10 17:28:11
6070,21%,323736,2258948,52799,21957,255378,2019-01-10 17:28:13
6070,22%,324000,2258948,52795,21965,255426,2019-01-10 17:28:16
6070,24%,323996,2258948,52820,21964,255462,2019-01-10 17:28:18
6070,25%,323976,2256800,52690,21965,155187,2019-01-10 17:28:20
