PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
5639,43%,168564,2072312,37335,15560,132128,2019-01-10 17:26:43
6070,16%,38560,1751752,3378,2776,17829,2019-01-10 17:26:46
6070,31%,91304,1848020,10560,6145,53005,2019-01-10 17:26:47
6070,34%,106872,1869028,17275,11142,70544,2019-01-10 17:26:48
6070,35%,149412,2038980,39929,14688,109002,2019-01-10 17:26:52
6070,68%,205412,2113760,43513,14237,169990,2019-01-10 17:26:55
6070,59%,259716,2199672,52191,14054,210305,2019-01-10 17:27:00
6070,33%,279580,2170188,51936,23793,192164,2019-01-10 17:27:04
6553,25%,180404,2161404,46486,18375,180673,2019-01-10 17:27:07
6070,28%,321936,2220504,50645,19467,244298,2019-01-10 17:27:12
6070,53%,319328,2229196,52577,20486,254086,2019-01-10 17:27:15
6070,69%,323808,2233212,54205,19329,256985,2019-01-10 17:27:19
6070,61%,323320,2254568,58795,24199,259811,2019-01-10 17:27:22
6070,47%,327768,2256924,56216,26464,264181,2019-01-10 17:27:26
6070,44%,332036,2259784,56812,31254,265134,2019-01-10 17:27:30
6070,40%,343096,2270832,57430,27811,276319,2019-01-10 17:27:32
6070,52%,337828,2272000,57553,34457,275266,2019-01-10 17:27:35
6070,26%,345172,2275572,57370,30167,277423,2019-01-10 17:27:37
6070,40%,335080,2270884,56151,30429,265861,2019-01-10 17:27:40
6070,43%,337388,2266200,55119,21926,268863,2019-01-10 17:27:42
6070,33%,333904,2262812,55061,21972,267728,2019-01-10 17:27:45
6070,44%,320772,2262812,55290,22199,259492,2019-01-10 17:27:47
6070,15%,327680,2262760,54771,21964,261457,2019-01-10 17:27:49
6070,17%,320512,2255412,53349,22164,253102,2019-01-10 17:27:51
6070,13%,331652,2263940,53495,21997,262251,2019-01-10 17:27:53
6070,23%,329920,2261056,53445,22008,262271,2019-01-10 17:27:55
6070,24%,324728,2261140,53489,22073,259579,2019-01-10 17:27:58
6070,42%,327428,2259936,52884,21935,259701,2019-01-10 17:28:00
6070,30%,328144,2260056,53412,22006,259988,2019-01-10 17:28:02
6070,36%,331340,2262172,53008,22048,260766,2019-01-10 17:28:04
6070,18%,328068,2258956,52943,22068,260742,2019-01-10 17:28:06
6070,9%,323012,2259016,52489,24236,255494,2019-01-10 17:28:08
6070,16%,329596,2256860,52484,21967,261070,2019-01-10 17:28:10
6070,47%,329552,2262052,52812,22007,261582,2019-01-10 17:28:12
6070,36%,323216,2258908,52800,22000,255335,2019-01-10 17:28:14
6070,30%,323440,2258908,52801,22004,255375,2019-01-10 17:28:16
6070,31%,323584,2258908,52820,21969,255410,2019-01-10 17:28:18
6070,25%,323860,2255704,52661,21958,164224,2019-01-10 17:28:20
