PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
23357,83%,153476,1971968,32648,15899,113336,2019-01-10 18:07:47
23357,34%,203392,2114060,48916,19360,168543,2019-01-10 18:07:51
23357,48%,266824,2209392,50113,19332,220716,2019-01-10 18:07:55
23357,35%,306744,2215924,52353,23127,167251,2019-01-10 18:07:58
23357,38%,317152,2213336,54428,25299,181460,2019-01-10 18:08:01
23357,50%,315332,2246460,56625,27035,224238,2019-01-10 18:08:04
23357,61%,332612,2255760,57817,26728,267409,2019-01-10 18:08:06
23357,43%,334000,2255924,57245,26629,263669,2019-01-10 18:08:09
23357,32%,331932,2272220,61231,27374,266893,2019-01-10 18:08:11
23357,58%,336688,2288632,59174,26866,271674,2019-01-10 18:08:14
23357,45%,340152,2285036,60344,28236,275245,2019-01-10 18:08:16
23357,76%,379804,2391856,69808,29107,319146,2019-01-10 18:08:19
23357,70%,386708,2397588,72940,33672,321887,2019-01-10 18:08:21
23357,91%,393780,2404640,72518,33256,326388,2019-01-10 18:08:24
23357,62%,382924,2397692,73521,33983,318990,2019-01-10 18:08:26
23357,18%,383400,2386780,72758,25299,319653,2019-01-10 18:08:29
23357,8%,393300,2410172,74160,28136,330426,2019-01-10 18:08:31
23357,19%,376676,2398596,73909,28612,315334,2019-01-10 18:08:33
23357,1%,381852,2401540,73993,29023,320879,2019-01-10 18:08:35
23357,17%,381324,2401024,73769,28992,320459,2019-01-10 18:08:37
23357,25%,376460,2402400,73539,29324,323234,2019-01-10 18:08:39
23357,12%,377352,2402712,73152,29312,323248,2019-01-10 18:08:41
23357,18%,375052,2385392,71275,29293,317218,2019-01-10 18:08:43
23357,19%,373072,2382948,70039,27569,315598,2019-01-10 18:08:45
23357,21%,375284,2376688,69012,27391,316775,2019-01-10 18:08:47
23357,17%,374808,2376180,69846,28930,316796,2019-01-10 18:08:49
23357,56%,397344,2423132,73288,29446,343352,2019-01-10 18:08:51
23357,66%,390304,2417868,75108,29555,334336,2019-01-10 18:08:53
23357,26%,384780,2411012,74663,29470,328544,2019-01-10 18:08:55
23357,40%,385620,2403956,74910,29425,332638,2019-01-10 18:08:57
23357,16%,389548,2413316,74480,29463,333592,2019-01-10 18:08:59
23357,51%,390800,2408744,73366,29362,336687,2019-01-10 18:09:02
23357,15%,391488,2408244,73888,29696,337095,2019-01-10 18:09:04
23357,44%,394620,2419136,74012,29419,341941,2019-01-10 18:09:06
23357,16%,393516,2418272,73808,29366,340757,2019-01-10 18:09:08
23357,42%,394792,2423132,73511,29361,243236,2019-01-10 18:09:10
24182,25%,256080,2387564,73113,29367,238689,2019-01-10 18:09:12
23357,21%,399152,2423164,73652,29968,249212,2019-01-10 18:09:14
24182,22%,256732,2387564,73519,31309,243977,2019-01-10 18:09:16
23357,18%,402740,2425604,73287,34822,351397,2019-01-10 18:09:18
23357,18%,399472,2422336,73153,34809,349073,2019-01-10 18:09:20
23357,8%,401804,2419248,73605,34820,351773,2019-01-10 18:09:22
23357,15%,398648,2415576,73267,34844,346905,2019-01-10 18:09:25
23357,10%,397272,2408884,73666,35079,342302,2019-01-10 18:09:26
23357,2%,398216,2385076,73896,35371,340238,2019-01-10 18:09:28
23357,1%,398084,2384868,73755,35343,340013,2019-01-10 18:09:30
23357,0%,398168,2384868,73696,35413,340029,2019-01-10 18:09:31
