PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
20121,63%,160084,2060416,42245,15770,121208,2019-01-10 17:56:38
20121,55%,243280,2179684,55099,15451,199200,2019-01-10 17:56:41
20121,28%,288692,2166040,52495,14040,237214,2019-01-10 17:56:45
20121,60%,310016,2189724,49863,18091,172923,2019-01-10 17:56:47
20121,36%,314904,2216652,51562,21078,183023,2019-01-10 17:56:50
20121,63%,309876,2227752,52847,22812,244729,2019-01-10 17:56:53
20121,56%,324888,2227816,53033,22399,170156,2019-01-10 17:56:55
20121,61%,313540,2234988,54425,22254,250821,2019-01-10 17:56:58
20121,64%,334484,2267552,55037,22207,269297,2019-01-10 17:57:01
20121,44%,319904,2259156,53605,20869,254222,2019-01-10 17:57:03
20121,63%,333056,2263664,57412,28425,268879,2019-01-10 17:57:06
20121,43%,354176,2353696,63215,24434,298787,2019-01-10 17:57:08
20121,80%,370164,2375464,68682,29118,304314,2019-01-10 17:57:11
20121,23%,375800,2374100,69050,28873,309771,2019-01-10 17:57:13
20121,42%,380944,2387148,68514,20980,316335,2019-01-10 17:57:16
20121,22%,379020,2373836,69016,20720,316918,2019-01-10 17:57:18
20121,18%,383228,2382752,68300,20632,319359,2019-01-10 17:57:20
20121,50%,373856,2384448,69915,24865,312575,2019-01-10 17:57:22
20121,18%,376504,2392816,69527,24863,314999,2019-01-10 17:57:24
20121,54%,373648,2387936,70756,24859,313080,2019-01-10 17:57:26
20121,20%,372648,2387340,69841,24848,310908,2019-01-10 17:57:28
20121,19%,366944,2388788,70042,25084,312794,2019-01-10 17:57:30
20121,13%,368544,2389576,70308,25312,313621,2019-01-10 17:57:31
20121,13%,368276,2388620,69726,25925,312893,2019-01-10 17:57:33
20121,17%,366848,2360744,65082,25320,306218,2019-01-10 17:57:35
20121,20%,366280,2359452,65109,24057,306906,2019-01-10 17:57:37
20121,18%,368216,2361984,64493,26226,307790,2019-01-10 17:57:39
20121,18%,376872,2367008,66220,27861,313486,2019-01-10 17:57:41
20121,69%,389376,2411336,70548,29818,338874,2019-01-10 17:57:43
20121,72%,389996,2409876,72444,30258,332496,2019-01-10 17:57:46
20121,15%,392180,2409144,71870,30057,334996,2019-01-10 17:57:48
20121,1%,387696,2410532,72380,30249,330864,2019-01-10 17:57:50
20121,34%,389732,2412416,72707,30198,333342,2019-01-10 17:57:52
20121,13%,388996,2404996,71703,29966,333870,2019-01-10 17:57:54
20121,18%,391344,2407416,71008,30070,336776,2019-01-10 17:57:56
20121,25%,390544,2398820,71304,30142,337618,2019-01-10 17:57:59
20121,20%,389988,2401508,70675,30030,231052,2019-01-10 17:58:01
20121,38%,393120,2400468,70963,30030,234101,2019-01-10 17:58:03
20923,23%,254628,2369372,70285,30079,204837,2019-01-10 17:58:05
20121,38%,391040,2402052,71830,30961,246504,2019-01-10 17:58:07
20121,16%,393460,2405672,71162,30620,342127,2019-01-10 17:58:09
20121,64%,400132,2411308,72978,35499,350783,2019-01-10 17:58:12
20121,17%,400444,2409748,72669,35431,350123,2019-01-10 17:58:14
20121,18%,401984,2403048,72978,35423,351511,2019-01-10 17:58:15
20121,15%,400572,2402964,72766,35443,350095,2019-01-10 17:58:18
20121,10%,398712,2398416,73069,35655,343813,2019-01-10 17:58:19
20121,10%,399420,2398856,73304,35978,344457,2019-01-10 17:58:21
20121,1%,399056,2395700,72180,36237,343249,2019-01-10 17:58:23
20121,20%,397804,2380316,69763,35874,337718,2019-01-10 17:58:25
